,Period,Weights Max PDI,Weights Max sharpe,Weights Equal,Weights Max PDI - PDI,Weights Max sharpe - PDI,Weights Equal - PDI,Assets
0,2016Q1,[0.16666667 0.16666667 0.16666667 0.16666667 0.16666667 0.16666667],[0.16666667 0.16666667 0.16666667 0.16666667 0.16666667 0.16666667],[0.16666667 0.16666667 0.16666667 0.16666667 0.16666667 0.16666667],3.56208689632279,3.56208689632279,3.56208689632279,"['KIE', 'EWX', 'XSD', 'XTN', 'PJP', 'PRN']"
1,2016Q2,"[0.2, 0.16, 0.14, 0.17, 0.14, 0.2]","[0.49, 0.06, 0.41, 0.0, 0.03, 0.01]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",3.0539841782548773,1.0735828317059561,2.664511473048801,"['KIE', 'EWX', 'XSD', 'XTN', 'PJP', 'PRN']"
2,2016Q3,"[0.2, 0.15, 0.14, 0.16, 0.13, 0.22]","[0.35, 0.02, 0.28, 0.0, 0.0, 0.35]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.8322345118340246,1.083840482679518,2.5025704083101323,"['KIE', 'EWX', 'XSD', 'XTN', 'PJP', 'PRN']"
3,2016Q4,"[0.24, 0.17, 0.16, 0.15, 0.19, 0.09]","[0.07, 0.32, 0.44, 0.0, 0.01, 0.15]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.473477194837574,1.0405555274378369,2.1116336517460406,"['KIE', 'EWX', 'XSD', 'XTN', 'PJP', 'PRN']"
4,2017Q1,"[0.24, 0.2, 0.14, 0.08, 0.18, 0.16]","[0.41, 0.04, 0.27, 0.25, 0.0, 0.03]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.6343857792867627,1.1423573515165573,2.1809748354471727,"['KIE', 'EWX', 'XSD', 'XTN', 'PJP', 'PRN']"
5,2017Q2,"[0.28, 0.24, 0.17, 0.09, 0.18, 0.03]","[0.41, 0.17, 0.34, 0.0, 0.06, 0.01]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.984399599513629,1.2741643328393697,2.261713375237253,"['KIE', 'EWX', 'XSD', 'XTN', 'PJP', 'PRN']"
6,2017Q3,"[0.29, 0.26, 0.19, 0.05, 0.19, 0.02]","[0.31, 0.29, 0.36, 0.0, 0.01, 0.04]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",3.1542850877465227,1.350891939054971,2.2605506919947063,"['KIE', 'EWX', 'XSD', 'XTN', 'PJP', 'PRN']"
7,2017Q4,"[0.23, 0.25, 0.18, 0.02, 0.18, 0.15]","[0.44, 0.38, 0.14, 0.0, 0.03, 0.01]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",3.0878329032735214,1.5620927662700028,2.4428573766461117,"['KIE', 'EWX', 'XSD', 'XTN', 'PJP', 'PRN']"
8,2018Q1,"[0.2, 0.29, 0.14, 0.15, 0.17, 0.05]","[0.2, 0.61, 0.02, 0.0, 0.07, 0.1]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",3.350503385237987,1.030905692905621,2.5252832013748185,"['KIE', 'EWX', 'XSD', 'XTN', 'PJP', 'PRN']"
9,2018Q2,"[0.25, 0.22, 0.11, 0.17, 0.18, 0.07]","[0.23, 0.33, 0.03, 0.11, 0.0, 0.31]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",3.283228329179253,1.5247352927528892,1.828634494102456,"['KIE', 'EWX', 'XSD', 'XTN', 'PJP', 'PRN']"
