,Period,Weights Max PDI,Weights Max sharpe,Weights Equal,Weights Max PDI - PDI,Weights Max sharpe - PDI,Weights Equal - PDI,Assets
0,2016Q1,"[0.15, 0.14, 0.18, 0.1, 0.17, 0.26]","[0.01, 0.03, 0.39, 0.03, 0.3, 0.25]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",2.805464076986065,1.2725704383046477,2.430643525616189,"['SPMD', 'PJP', 'XSW', 'SLYG', 'XSD', 'KIE']"
1,2016Q2,"[0.18, 0.14, 0.17, 0.15, 0.15, 0.22]","[0.11, 0.01, 0.07, 0.0, 0.27, 0.54]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",2.6377478897068274,1.0937979825231494,2.1490020942033805,"['SPMD', 'PJP', 'XSW', 'SLYG', 'XSD', 'KIE']"
2,2016Q3,"[0.18, 0.16, 0.16, 0.13, 0.15, 0.22]","[0.2, 0.02, 0.08, 0.04, 0.02, 0.64]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",2.5414856277374667,1.0072753711255316,2.2427793672556944,"['SPMD', 'PJP', 'XSW', 'SLYG', 'XSD', 'KIE']"
3,2016Q4,"[0.18, 0.19, 0.14, 0.1, 0.16, 0.23]","[0.17, 0.02, 0.01, 0.06, 0.71, 0.04]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",2.331446483824002,1.0004616267404067,1.9081373837283744,"['SPMD', 'PJP', 'XSW', 'SLYG', 'XSD', 'KIE']"
4,2017Q1,"[0.18, 0.2, 0.16, 0.16, 0.16, 0.14]","[0.03, 0.01, 0.02, 0.09, 0.45, 0.39]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",2.23704452888071,1.0341288303180436,1.8200227024217654,"['SPMD', 'PJP', 'XSW', 'SLYG', 'XSD', 'KIE']"
5,2017Q2,"[0.05, 0.19, 0.24, 0.12, 0.15, 0.24]","[0.01, 0.02, 0.18, 0.03, 0.38, 0.39]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",2.372429114579254,1.1565837610719796,1.8556309279054073,"['SPMD', 'PJP', 'XSW', 'SLYG', 'XSD', 'KIE']"
6,2017Q3,"[0.14, 0.21, 0.06, 0.06, 0.21, 0.33]","[0.02, 0.02, 0.13, 0.0, 0.47, 0.36]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",2.4762002113354216,1.0755125272846393,1.9750652774929147,"['SPMD', 'PJP', 'XSW', 'SLYG', 'XSD', 'KIE']"
7,2017Q4,"[0.16, 0.21, 0.12, 0.02, 0.21, 0.28]","[0.05, 0.02, 0.22, 0.01, 0.22, 0.48]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",2.810963545169945,1.3993055846595235,2.3258083415833446,"['SPMD', 'PJP', 'XSW', 'SLYG', 'XSD', 'KIE']"
8,2018Q1,"[0.18, 0.14, 0.21, 0.18, 0.08, 0.21]","[0.03, 0.01, 0.54, 0.0, 0.13, 0.29]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",2.832057169738204,1.1100265543982788,1.770555697507469,"['SPMD', 'PJP', 'XSW', 'SLYG', 'XSD', 'KIE']"
9,2018Q2,"[0.24, 0.19, 0.1, 0.15, 0.12, 0.21]","[0.02, 0.09, 0.59, 0.13, 0.0, 0.16]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",2.6858184829285934,1.0077975839792788,1.38173844184792,"['SPMD', 'PJP', 'XSW', 'SLYG', 'XSD', 'KIE']"
10,2018Q3,"[0.25, 0.18, 0.11, 0.09, 0.11, 0.26]","[0.03, 0.0, 0.83, 0.05, 0.01, 0.08]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",2.4240810398203636,1.0000325493579627,1.2090145260158276,"['SPMD', 'PJP', 'XSW', 'SLYG', 'XSD', 'KIE']"
11,2018Q4,"[0.14, 0.16, 0.12, 0.22, 0.1, 0.25]","[0.04, 0.02, 0.62, 0.24, 0.05, 0.03]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",2.4965123813306516,1.0025096619709246,1.3060198811173267,"['SPMD', 'PJP', 'XSW', 'SLYG', 'XSD', 'KIE']"
12,2019Q1,"[0.14, 0.18, 0.15, 0.15, 0.13, 0.24]","[0.03, 0.17, 0.58, 0.13, 0.07, 0.02]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",2.2391327112714587,1.0015189554746318,1.1982106264106154,"['SPMD', 'PJP', 'XSW', 'SLYG', 'XSD', 'KIE']"
13,2019Q2,"[0.14, 0.18, 0.15, 0.15, 0.13, 0.25]","[0.05, 0.09, 0.76, 0.02, 0.0, 0.08]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",2.3009725777130923,1.0000470627267197,1.2423599795876679,"['SPMD', 'PJP', 'XSW', 'SLYG', 'XSD', 'KIE']"
14,2019Q3,"[0.17, 0.18, 0.15, 0.11, 0.14, 0.25]","[0.05, 0.01, 0.43, 0.02, 0.07, 0.42]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",2.7202365241636928,1.1224074831691113,1.4345429797340525,"['SPMD', 'PJP', 'XSW', 'SLYG', 'XSD', 'KIE']"
15,2019Q4,"[0.19, 0.17, 0.16, 0.14, 0.12, 0.22]","[0.0, 0.04, 0.09, 0.01, 0.33, 0.53]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",3.0968089912197776,1.1499064822390568,1.330144404405969,"['SPMD', 'PJP', 'XSW', 'SLYG', 'XSD', 'KIE']"
16,2020Q1,"[0.11, 0.18, 0.16, 0.19, 0.12, 0.24]","[0.01, 0.01, 0.23, 0.05, 0.33, 0.37]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",2.8874551295905033,1.1260661717738105,1.5129624692288854,"['SPMD', 'PJP', 'XSW', 'SLYG', 'XSD', 'KIE']"
17,2020Q2,"[0.13, 0.25, 0.14, 0.17, 0.13, 0.17]","[0.04, 0.01, 0.23, 0.02, 0.69, 0.01]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",1.7929175197342468,1.0010311161564127,1.132413197308232,"['SPMD', 'PJP', 'XSW', 'SLYG', 'XSD', 'KIE']"
18,2020Q3,"[0.14, 0.29, 0.15, 0.11, 0.14, 0.16]","[0.01, 0.2, 0.09, 0.02, 0.66, 0.01]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",2.074793614366527,1.0004562603901186,1.0879130356393913,"['SPMD', 'PJP', 'XSW', 'SLYG', 'XSD', 'KIE']"
19,2020Q4,"[0.13, 0.29, 0.14, 0.16, 0.14, 0.14]","[0.0, 0.37, 0.37, 0.01, 0.24, 0.0]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",2.0716120778232523,1.046779679617345,1.115044882532763,"['SPMD', 'PJP', 'XSW', 'SLYG', 'XSD', 'KIE']"
