,Period,Weights Max PDI,Weights Max Sharpe,Weights Max Sharpe - PDI 2,Weights Equal,Weights Max PDI - PDI Rolling 52,Weights Max sharpe - PDI Rolling 52,Weights Max Sharpe - PDI 2 Rolling 52,Weights equal - PDI,Assets
0,2016Q1,[0.16666667 0.16666667 0.16666667 0.16666667 0.16666667 0.16666667],[0.16666667 0.16666667 0.16666667 0.16666667 0.16666667 0.16666667],[0.16666667 0.16666667 0.16666667 0.16666667 0.16666667 0.16666667],[0.16666667 0.16666667 0.16666667 0.16666667 0.16666667 0.16666667],2.4312286313275826,2.4312286313275826,2.4312286313275826,2.4312286313275826,"['XSD', 'KIE', 'PJP', 'SMH', 'XVG-USD', 'DOGE-USD']"
1,2016Q2,"[0.57, 0.04, 0.13, 0.16, 0.04, 0.06]","[0.09, 0.02, 0.02, 0.19, 0.65, 0.03]","[0.09, 0.02, 0.02, 0.19, 0.65, 0.03]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",1.9844672213321664,1.000002752027295,1.000002752027295,1.014647432159086,"['XSD', 'KIE', 'PJP', 'SMH', 'XVG-USD', 'DOGE-USD']"
2,2016Q3,"[0.31, 0.21, 0.36, 0.05, 0.03, 0.04]","[0.01, 0.34, 0.02, 0.16, 0.33, 0.14]","[0.31, 0.21, 0.36, 0.05, 0.03, 0.04]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.0278586545578836,1.0087603502232256,2.0278586545578836,1.0171258617472976,"['XSD', 'KIE', 'PJP', 'SMH', 'XVG-USD', 'DOGE-USD']"
3,2016Q4,"[0.33, 0.06, 0.37, 0.16, 0.03, 0.04]","[0.18, 0.09, 0.01, 0.64, 0.07, 0.01]","[0.18, 0.09, 0.01, 0.64, 0.07, 0.01]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",1.9252443663719965,1.2935199837792055,1.2935199837792055,1.0050832554518863,"['XSD', 'KIE', 'PJP', 'SMH', 'XVG-USD', 'DOGE-USD']"
4,2017Q1,"[0.57, 0.11, 0.14, 0.06, 0.05, 0.06]","[0.1, 0.38, 0.03, 0.42, 0.05, 0.02]","[0.1, 0.38, 0.03, 0.42, 0.05, 0.02]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",1.8291142598600416,1.2492857852974786,1.2492857852974786,1.0027431404751943,"['XSD', 'KIE', 'PJP', 'SMH', 'XVG-USD', 'DOGE-USD']"
5,2017Q2,"[0.31, 0.19, 0.34, 0.03, 0.03, 0.1]","[0.05, 0.35, 0.0, 0.47, 0.02, 0.09]","[0.08, 0.24, 0.23, 0.36, 0.02, 0.07]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.670410247960596,1.6570347531339067,2.1573305592125878,1.0029874707356985,"['XSD', 'KIE', 'PJP', 'SMH', 'XVG-USD', 'DOGE-USD']"
6,2017Q3,"[0.34, 0.09, 0.35, 0.17, 0.0, 0.04]","[0.07, 0.01, 0.07, 0.05, 0.58, 0.22]","[0.17, 0.29, 0.12, 0.39, 0.01, 0.02]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.5399032312908116,1.0000578361796801,2.0648811524620805,1.0379714213192277,"['XSD', 'KIE', 'PJP', 'SMH', 'XVG-USD', 'DOGE-USD']"
7,2017Q4,"[0.35, 0.35, 0.27, 0.0, 0.01, 0.01]","[0.05, 0.08, 0.04, 0.04, 0.66, 0.12]","[0.01, 0.27, 0.21, 0.48, 0.01, 0.01]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.50203214833164,1.000005798951852,2.0659983635422408,1.0000203911380345,"['XSD', 'KIE', 'PJP', 'SMH', 'XVG-USD', 'DOGE-USD']"
8,2018Q1,"[0.13, 0.3, 0.29, 0.26, 0.0, 0.02]","[0.0, 0.08, 0.12, 0.01, 0.63, 0.17]","[0.13, 0.3, 0.29, 0.26, 0.0, 0.02]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.342639191603583,1.000004158732541,2.342639191603583,1.0450960236471531,"['XSD', 'KIE', 'PJP', 'SMH', 'XVG-USD', 'DOGE-USD']"
9,2018Q2,"[0.06, 0.42, 0.32, 0.2, 0.0, 0.0]","[0.02, 0.01, 0.06, 0.13, 0.67, 0.1]","[0.48, 0.01, 0.46, 0.04, 0.01, 0.0]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.24250795229363,1.0000007509690452,2.0093058327700377,1.3303512563269737,"['XSD', 'KIE', 'PJP', 'SMH', 'XVG-USD', 'DOGE-USD']"
10,2018Q3,"[0.67, 0.15, 0.03, 0.07, 0.01, 0.08]","[0.08, 0.06, 0.01, 0.52, 0.29, 0.05]","[0.1, 0.33, 0.13, 0.43, 0.01, 0.0]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.030144875202562,1.0000090187065545,2.0016286381641617,1.027812548616922,"['XSD', 'KIE', 'PJP', 'SMH', 'XVG-USD', 'DOGE-USD']"
