,Period,Weights Max PDI,Weights Max Sharpe,Weights Max Sharpe - PDI 2,Weights Equal,Weights Max PDI - PDI Rolling 52,Weights Max sharpe - PDI Rolling 52,Weights Max Sharpe - PDI 2 Rolling 52,Weights equal - PDI,Assets
0,2016Q1,"[0.34, 0.43, 0.08, 0.07, 0.02, 0.05]","[0.0, 0.06, 0.0, 0.1, 0.34, 0.5]","[0.0, 0.42, 0.16, 0.31, 0.03, 0.07]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.32856112395462,1.2075258379826872,2.062767291263398,1.7764221136059875,"['XSW', 'XSD', 'KIE', 'VIOG', 'XVG-USD', 'DASH-USD']"
1,2016Q2,"[0.01, 0.43, 0.03, 0.38, 0.04, 0.11]","[0.05, 0.01, 0.04, 0.06, 0.54, 0.3]","[0.19, 0.44, 0.12, 0.08, 0.05, 0.14]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.3901496583242,1.0040413101107082,2.014314452937328,1.0051976480686196,"['XSW', 'XSD', 'KIE', 'VIOG', 'XVG-USD', 'DASH-USD']"
2,2016Q3,"[0.06, 0.56, 0.07, 0.15, 0.04, 0.13]","[0.1, 0.04, 0.01, 0.02, 0.25, 0.58]","[0.26, 0.37, 0.15, 0.04, 0.04, 0.13]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.32301800965573,1.4470407746535296,2.064715236679466,1.1044756731807825,"['XSW', 'XSD', 'KIE', 'VIOG', 'XVG-USD', 'DASH-USD']"
3,2016Q4,"[0.34, 0.33, 0.17, 0.03, 0.03, 0.1]","[0.1, 0.1, 0.07, 0.05, 0.13, 0.56]","[0.04, 0.45, 0.02, 0.35, 0.03, 0.11]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.2315661996219838,1.2944922095336744,2.156654361196206,1.0500791765020865,"['XSW', 'XSD', 'KIE', 'VIOG', 'XVG-USD', 'DASH-USD']"
4,2017Q1,"[0.06, 0.46, 0.26, 0.05, 0.04, 0.13]","[0.01, 0.13, 0.1, 0.05, 0.14, 0.58]","[0.03, 0.18, 0.46, 0.16, 0.04, 0.13]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.401955408380672,1.443015674786155,2.000072248076697,1.0776023297365023,"['XSW', 'XSD', 'KIE', 'VIOG', 'XVG-USD', 'DASH-USD']"
5,2017Q2,"[0.02, 0.67, 0.14, 0.06, 0.05, 0.06]","[0.13, 0.05, 0.05, 0.12, 0.0, 0.65]","[0.13, 0.05, 0.05, 0.12, 0.0, 0.65]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",1.8205851979459933,1.0000002179761975,1.0000002179761975,1.0001123539503087,"['XSW', 'XSD', 'KIE', 'VIOG', 'XVG-USD', 'DASH-USD']"
6,2017Q3,"[0.04, 0.27, 0.37, 0.28, 0.01, 0.03]","[0.03, 0.07, 0.04, 0.0, 0.55, 0.32]","[0.05, 0.66, 0.05, 0.14, 0.03, 0.08]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.357887595324516,1.002794291121683,2.1007624509796803,1.025704532228029,"['XSW', 'XSD', 'KIE', 'VIOG', 'XVG-USD', 'DASH-USD']"
7,2017Q4,"[0.08, 0.33, 0.37, 0.2, 0.01, 0.02]","[0.02, 0.02, 0.06, 0.06, 0.38, 0.47]","[0.01, 0.33, 0.32, 0.3, 0.01, 0.04]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.3136825412705164,1.0570457870989824,2.052260872625729,1.0000581489267937,"['XSW', 'XSD', 'KIE', 'VIOG', 'XVG-USD', 'DASH-USD']"
8,2018Q1,"[0.01, 0.26, 0.48, 0.23, 0.0, 0.02]","[0.02, 0.02, 0.08, 0.01, 0.44, 0.44]","[0.19, 0.21, 0.31, 0.27, 0.0, 0.02]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.4695216795023263,1.002496993685233,2.3505408981420106,1.0555663682154766,"['XSW', 'XSD', 'KIE', 'VIOG', 'XVG-USD', 'DASH-USD']"
9,2018Q2,"[0.27, 0.1, 0.37, 0.24, 0.0, 0.03]","[0.05, 0.0, 0.03, 0.01, 0.68, 0.22]","[0.39, 0.48, 0.0, 0.08, 0.01, 0.05]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.153778579807086,1.00000428238303,2.0884420541897155,1.0750323168587332,"['XSW', 'XSD', 'KIE', 'VIOG', 'XVG-USD', 'DASH-USD']"
