,Period,Weights Max PDI,Weights Max sharpe,Weights Equal,Weights Max PDI - PDI,Weights Max sharpe - PDI,Weights Equal - PDI,Assets
0,2016Q1,[0.16666667 0.16666667 0.16666667 0.16666667 0.16666667 0.16666667],[0.16666667 0.16666667 0.16666667 0.16666667 0.16666667 0.16666667],[0.16666667 0.16666667 0.16666667 0.16666667 0.16666667 0.16666667],3.731829054247296,3.731829054247296,3.731829054247296,"['KRE', 'XTN', 'PSJ', 'BBP', 'FEMS', 'ARKW']"
1,2016Q2,"[0.2, 0.2, 0.2, 0.1, 0.17, 0.13]","[0.05, 0.04, 0.48, 0.0, 0.01, 0.41]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",3.515801224854985,1.04596647416941,2.1684064662737432,"['KRE', 'XTN', 'PSJ', 'BBP', 'FEMS', 'ARKW']"
2,2016Q3,"[0.17, 0.2, 0.14, 0.13, 0.17, 0.18]","[0.01, 0.01, 0.36, 0.0, 0.12, 0.49]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",3.6417503121808323,1.0279955940860854,2.006234075090137,"['KRE', 'XTN', 'PSJ', 'BBP', 'FEMS', 'ARKW']"
3,2016Q4,"[0.19, 0.2, 0.12, 0.14, 0.19, 0.17]","[0.01, 0.0, 0.16, 0.12, 0.5, 0.21]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",3.3051093979247943,1.1118347912342972,1.9758378583779566,"['KRE', 'XTN', 'PSJ', 'BBP', 'FEMS', 'ARKW']"
4,2017Q1,"[0.09, 0.22, 0.17, 0.13, 0.2, 0.19]","[0.52, 0.38, 0.03, 0.0, 0.06, 0.01]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",3.0205569679950184,1.0240915994940902,1.6857131636688236,"['KRE', 'XTN', 'PSJ', 'BBP', 'FEMS', 'ARKW']"
5,2017Q2,"[0.12, 0.16, 0.25, 0.11, 0.14, 0.22]","[0.16, 0.01, 0.02, 0.15, 0.05, 0.62]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.7209363652713696,1.1586620496967037,1.7707048528761158,"['KRE', 'XTN', 'PSJ', 'BBP', 'FEMS', 'ARKW']"
6,2017Q3,"[0.17, 0.17, 0.02, 0.16, 0.25, 0.24]","[0.11, 0.01, 0.02, 0.12, 0.13, 0.61]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",3.021830362712536,1.0277444491174177,2.03940727218265,"['KRE', 'XTN', 'PSJ', 'BBP', 'FEMS', 'ARKW']"
7,2017Q4,"[0.06, 0.24, 0.08, 0.15, 0.26, 0.22]","[0.13, 0.03, 0.04, 0.04, 0.26, 0.5]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.7297220171402574,1.1041557463044103,2.003133406436158,"['KRE', 'XTN', 'PSJ', 'BBP', 'FEMS', 'ARKW']"
8,2018Q1,"[0.04, 0.21, 0.24, 0.17, 0.24, 0.1]","[0.12, 0.02, 0.02, 0.01, 0.42, 0.42]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",3.3168250879522008,1.3664118561677898,2.2606464795612125,"['KRE', 'XTN', 'PSJ', 'BBP', 'FEMS', 'ARKW']"
9,2018Q2,"[0.1, 0.22, 0.19, 0.15, 0.2, 0.13]","[0.07, 0.05, 0.05, 0.04, 0.2, 0.59]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",3.1504326364897928,1.0053039255165004,2.3907790190297042,"['KRE', 'XTN', 'PSJ', 'BBP', 'FEMS', 'ARKW']"
