,Period,Weights Max PDI,Weights Max Sharpe,Weights Max Sharpe - PDI 2,Weights Equal,Weights Max PDI - PDI Rolling 52,Weights Max sharpe - PDI Rolling 52,Weights Max Sharpe - PDI 2 Rolling 52,Weights equal - PDI,Assets
0,2016Q1,"[0.27, 0.38, 0.24, 0.05, 0.04, 0.02]","[0.16, 0.48, 0.01, 0.02, 0.03, 0.3]","[0.16, 0.48, 0.01, 0.02, 0.03, 0.3]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",1.9523262694132542,1.0000509032575828,1.0000509032575828,1.5276155747846536,"['KRE', 'ARKW', 'BBP', 'PSJ', 'IHI', 'XVG-USD']"
1,2016Q2,"[0.24, 0.53, 0.04, 0.08, 0.06, 0.05]","[0.02, 0.0, 0.02, 0.26, 0.1, 0.59]","[0.02, 0.0, 0.02, 0.26, 0.1, 0.59]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",1.649184222797766,1.0000020710517372,1.0000020710517372,1.000236129539846,"['KRE', 'ARKW', 'BBP', 'PSJ', 'IHI', 'XVG-USD']"
2,2016Q3,"[0.03, 0.4, 0.37, 0.0, 0.15, 0.05]","[0.02, 0.03, 0.06, 0.01, 0.52, 0.35]","[0.02, 0.03, 0.06, 0.01, 0.52, 0.35]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",1.6599107955412995,1.0000666189633907,1.0000666189633907,1.0010836630461508,"['KRE', 'ARKW', 'BBP', 'PSJ', 'IHI', 'XVG-USD']"
3,2016Q4,"[0.02, 0.35, 0.28, 0.15, 0.17, 0.03]","[0.03, 0.11, 0.01, 0.34, 0.47, 0.04]","[0.03, 0.11, 0.01, 0.34, 0.47, 0.04]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",1.82859821459614,1.2146991586279912,1.2146991586279912,1.018213915988175,"['KRE', 'ARKW', 'BBP', 'PSJ', 'IHI', 'XVG-USD']"
4,2017Q1,"[0.11, 0.27, 0.17, 0.04, 0.39, 0.02]","[0.62, 0.17, 0.01, 0.09, 0.02, 0.09]","[0.62, 0.17, 0.01, 0.09, 0.02, 0.09]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",1.8142946738167227,1.137035717742692,1.137035717742692,1.0001146771751843,"['KRE', 'ARKW', 'BBP', 'PSJ', 'IHI', 'XVG-USD']"
5,2017Q2,"[0.11, 0.31, 0.14, 0.07, 0.35, 0.02]","[0.2, 0.42, 0.07, 0.03, 0.27, 0.01]","[0.21, 0.37, 0.2, 0.08, 0.12, 0.02]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.3150101149715785,1.4662471246551791,2.0712834711365327,1.0000023707663885,"['KRE', 'ARKW', 'BBP', 'PSJ', 'IHI', 'XVG-USD']"
6,2017Q3,"[0.24, 0.15, 0.18, 0.41, 0.01, 0.01]","[0.01, 0.04, 0.14, 0.1, 0.07, 0.64]","[0.28, 0.43, 0.16, 0.04, 0.08, 0.01]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.5594101670563063,1.0000000269040688,2.0869174988313035,1.0000272707294182,"['KRE', 'ARKW', 'BBP', 'PSJ', 'IHI', 'XVG-USD']"
7,2017Q4,"[0.22, 0.11, 0.19, 0.38, 0.08, 0.01]","[0.11, 0.06, 0.01, 0.06, 0.02, 0.75]","[0.28, 0.37, 0.01, 0.23, 0.1, 0.01]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.5747017814372395,1.0000000023468587,2.0509643352847466,1.0000001063142632,"['KRE', 'ARKW', 'BBP', 'PSJ', 'IHI', 'XVG-USD']"
8,2018Q1,"[0.18, 0.17, 0.18, 0.2, 0.27, 0.0]","[0.03, 0.03, 0.12, 0.1, 0.01, 0.71]","[0.4, 0.49, 0.0, 0.03, 0.07, 0.01]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.605518334733479,1.0000000002698353,2.1792754932588827,1.0013640758863724,"['KRE', 'ARKW', 'BBP', 'PSJ', 'IHI', 'XVG-USD']"
9,2018Q2,"[0.21, 0.16, 0.19, 0.21, 0.22, 0.0]","[0.01, 0.03, 0.2, 0.02, 0.03, 0.72]","[0.42, 0.43, 0.03, 0.01, 0.1, 0.01]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.551834650699685,1.0000000020349948,2.2404426496585312,1.001631832542508,"['KRE', 'ARKW', 'BBP', 'PSJ', 'IHI', 'XVG-USD']"
10,2018Q3,"[0.5, 0.38, 0.03, 0.05, 0.02, 0.01]","[0.21, 0.7, 0.0, 0.07, 0.01, 0.01]","[0.5, 0.38, 0.03, 0.05, 0.02, 0.01]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.5905331552233304,1.1895380814985126,2.5905331552233304,1.0144564271587933,"['KRE', 'ARKW', 'BBP', 'PSJ', 'IHI', 'XVG-USD']"
11,2018Q4,"[0.47, 0.35, 0.01, 0.06, 0.11, 0.01]","[0.02, 0.14, 0.06, 0.38, 0.39, 0.01]","[0.42, 0.3, 0.02, 0.07, 0.18, 0.01]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.316069742550432,1.5591848595885005,2.0376280323244367,1.0769484672589278,"['KRE', 'ARKW', 'BBP', 'PSJ', 'IHI', 'XVG-USD']"
12,2019Q1,"[0.42, 0.0, 0.09, 0.38, 0.03, 0.08]","[0.01, 0.08, 0.05, 0.44, 0.42, 0.0]","[0.44, 0.04, 0.04, 0.33, 0.08, 0.07]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.060336821573181,1.0092258771130633,2.0352225443929575,1.0740803298065011,"['KRE', 'ARKW', 'BBP', 'PSJ', 'IHI', 'XVG-USD']"
13,2019Q2,"[0.4, 0.07, 0.03, 0.34, 0.07, 0.08]","[0.07, 0.08, 0.03, 0.33, 0.49, 0.0]","[0.33, 0.06, 0.11, 0.29, 0.14, 0.06]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.076496409857497,1.0112073061171905,2.0122675264744645,1.0024412115893044,"['KRE', 'ARKW', 'BBP', 'PSJ', 'IHI', 'XVG-USD']"
14,2019Q3,"[0.38, 0.02, 0.07, 0.37, 0.06, 0.09]","[0.01, 0.04, 0.06, 0.47, 0.41, 0.0]","[0.01, 0.04, 0.06, 0.47, 0.41, 0.0]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",1.8996794714863894,1.013266548126511,1.013266548126511,1.0413447590319853,"['KRE', 'ARKW', 'BBP', 'PSJ', 'IHI', 'XVG-USD']"
15,2019Q4,"[0.04, 0.56, 0.22, 0.01, 0.02, 0.16]","[0.0, 0.01, 0.01, 0.19, 0.75, 0.03]","[0.0, 0.01, 0.01, 0.19, 0.75, 0.03]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",1.9851034292878897,1.0061209609342439,1.0061209609342439,1.0230004347558204,"['KRE', 'ARKW', 'BBP', 'PSJ', 'IHI', 'XVG-USD']"
16,2020Q1,"[0.29, 0.06, 0.19, 0.33, 0.07, 0.06]","[0.06, 0.0, 0.02, 0.37, 0.55, 0.0]","[0.21, 0.11, 0.14, 0.22, 0.3, 0.02]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.26316194132264,1.1038475228509683,2.059938740343247,1.0370114556755365,"['KRE', 'ARKW', 'BBP', 'PSJ', 'IHI', 'XVG-USD']"
17,2020Q2,"[0.22, 0.19, 0.22, 0.15, 0.14, 0.08]","[0.04, 0.6, 0.04, 0.24, 0.07, 0.0]","[0.09, 0.19, 0.14, 0.17, 0.33, 0.07]","[0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669, 0.16666666666666669]",2.2095093654814093,1.000382322186757,2.028338162695872,1.215651622652556,"['KRE', 'ARKW', 'BBP', 'PSJ', 'IHI', 'XVG-USD']"
