Symbol,Category,Asset Class,Asset Class Size,Asset Class Style,Region (General),Region (Specific),Sector (General)
SPY,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,
IVV,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,
VTI,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,
VOO,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,
QQQ,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,Technology
VEA,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,EAFE,
IEFA,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,EAFE,
AGG,Total Bond Market,Bond,,,North America,U.S.,
VWO,Asia Pacific Equities,Equity,Large-Cap,Blend,Emerging Markets,Broad,
IEMG,Emerging Markets Equities,Equity,Large-Cap,Blend,Broad Asia,Pacific ex-Japan,
VTV,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,
BND,Total Bond Market,Bond,,,North America,U.S.,
IWM,Small Cap Growth Equities,Equity,Micro-Cap,Blend,North America,U.S.,
VUG,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,
IJR,Small Cap Blend Equities,Equity,Multi-Cap,Blend,North America,U.S.,
IWF,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,
IJH,Mid Cap Growth Equities,Equity,Mid-Cap,Growth,North America,U.S.,
GLD,Precious Metals,Commodity,,,,,
VIG,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,
EFA,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,EAFE,
IWD,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,
VO,Mid Cap Growth Equities,Equity,Mid-Cap,Blend,North America,U.S.,
VB,Small Cap Growth Equities,Equity,Multi-Cap,Blend,North America,U.S.,
VXUS,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Broad Asia,Broad,
VCIT,Corporate Bonds,Bond,,,Developed Markets,Broad,
LQD,Corporate Bonds,Bond,,,North America,U.S.,
VGT,Technology Equities,Equity,Large-Cap,Growth,North America,U.S.,Technology
BNDX,Total Bond Market,Bond,,,Developed Markets,Broad,
XLF,Financials Equities,Equity,Large-Cap,Blend,North America,U.S.,Financials
XLK,Technology Equities,Equity,Large-Cap,Growth,North America,U.S.,Technology
VCSH,Corporate Bonds,Bond,,,Developed Markets,Broad,
ITOT,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,
VNQ,Real Estate,Real Estate,Multi-Cap,Blend,North America,U.S.,Real Estate
VYM,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,
VEU,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Broad Asia,Broad,
BSV,Total Bond Market,Bond,,,North America,U.S.,
IVW,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,
EEM,Emerging Markets Equities,Equity,Large-Cap,Blend,Emerging Markets,Broad,
DIA,Large Cap Growth Equities,Equity,Mega-Cap,Blend,North America,U.S.,
USMV,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,
SCHX,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,
IAU,Precious Metals,Commodity,,,,,
IWB,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,
IWR,Mid Cap Blend Equities,Equity,Mid-Cap,Blend,North America,U.S.,
IXUS,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,
MBB,Mortgage Backed Securities,Bond,,,North America,U.S.,
TIP,Inflation-Protected Bonds,Bond,,,North America,U.S.,
SCHF,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,
IGSB,Corporate Bonds,Bond,,,Developed Markets,Broad,
RSP,Large Cap Blend Equities,Equity,Multi-Cap,Blend,North America,U.S.,
XLV,Health & Biotech Equities,Equity,Large-Cap,Growth,North America,U.S.,Healthcare
ARKK,All Cap Equities,Equity,Multi-Cap,Growth,North America,U.S.,Technology
VBR,Small Cap Blend Equities,Equity,Small-Cap,Blend,North America,U.S.,
XLE,Energy Equities,Equity,Large-Cap,Value,North America,U.S.,Energy
VV,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,
HYG,High Yield Bonds,Bond,,,North America,U.S.,
IVE,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,
SCHD,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,
MUB,National Munis,Bond,,,North America,U.S.,
MDY,Small Cap Growth Equities,Equity,Mid-Cap,Blend,North America,U.S.,
XLI,Industrials Equities,Equity,Large-Cap,Blend,North America,U.S.,Industrials
SHY,Government Bonds,Bond,,,North America,U.S.,
QUAL,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,
SCHB,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,
VT,Large Cap Growth Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,
XLY,Consumer Discretionary Equities,Equity,Large-Cap,Growth,North America,U.S.,Consumer Discretionary
SDY,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,
PFF,Preferred Stock/Convertible Bonds,Preferred Stock,Multi-Cap,Blend,North America,U.S.,
EMB,Emerging Markets Bonds,Bond,,,Emerging Markets,Broad,
DVY,All Cap Equities,Equity,Multi-Cap,Value,North America,U.S.,
DGRO,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,
SCHP,Inflation-Protected Bonds,Bond,,,North America,U.S.,
IWN,Small Cap Blend Equities,Equity,Multi-Cap,Blend,North America,U.S.,
SHV,Government Bonds,Bond,,,North America,U.S.,
ACWI,Large Cap Growth Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,
VXF,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,
VGK,Europe Equities,Equity,Large-Cap,Blend,Developed Europe,Broad,
SCHA,Small Cap Growth Equities,Equity,Small-Cap,Blend,North America,U.S.,
VBK,Small Cap Growth Equities,Equity,Small-Cap,Growth,North America,U.S.,
IWP,All Cap Equities,Equity,Multi-Cap,Growth,North America,U.S.,
MINT,Total Bond Market,Bond,,,Developed Markets,Broad,
IEF,Government Bonds,Bond,,,North America,U.S.,
GOVT,Government Bonds,Bond,,,North America,U.S.,
TLT,Government Bonds,Bond,,,North America,U.S.,
BIV,Total Bond Market,Bond,,,North America,U.S.,
